repd_ref_id,site_name,capacity_mw,technology,turbine_groups,model_status,public_power_curve,recommended_atlite_configuration,source_url,notes
2502,"Hornsea 2 - Optimus and Breesea",1320,Wind Offshore,"165 x Siemens Gamesa SG 8.0-167 DD",confirmed,"No exact public curve found","NREL_ReferenceTurbine_2016CACost_8MW_offshore (proxy)","https://www.siemensgamesa.com/global/en/home/press-releases/siemens-gamesa-news-offshore-hornsea-two-oersted.html","Use 1320 MW REPD site capacity; proxy is not the installed turbine curve"
2525,"Hornsea 1 - Heron & Njord",1218,Wind Offshore,"174 x Siemens Gamesa SWT-7.0-154",confirmed,"No exact public curve found","Vestas_V164_7MW_offshore (proxy)","https://orsted.co.uk/media/newsroom/news/2019/02/the-worlds-biggest-offshore-wind-farm-hornsea-one-generates-first-power","Official operator confirms 174 Siemens Gamesa 7 MW turbines; exact curve remains proprietary/unavailable"
2540,Seagreen,1075,Wind Offshore,"114 x Vestas V164-10.0 MW",confirmed,"No exact public V164-10 curve found","OEDB id 131 V164/9500 (same-platform proxy)","https://www.seagreenwindenergy.com/post/scotland-s-largest-offshore-wind-farm-is-now-operational","Same-platform 9.5 MW curve is a proxy and should be labelled as such"
2534,Moray East,950,Wind Offshore,"100 x Vestas V164-9.5 MW",confirmed,"OEDB id 131; digitised public curve","OEDB id 131 V164/9500","https://www.morayeast.com/","OEDB curve is public but not an operator-supplied as-operated farm curve"
6158,Moray West Offshore Wind Farm Project,882,Wind Offshore,"60 x Siemens Gamesa SG 14-222 DD with Power Boost to 14.7 MW",confirmed,"No exact public curve found","NREL_ReferenceTurbine_2020ATB_15MW_offshore (proxy)","https://www.moraywest.com/news/ocean-winds-celebrates-final-wind-turbine-installed-moray-west","Use 14.7 MW/site capacity scaling; NREL 15 MW has a different rotor and control system"
2532,Triton Knoll,857,Wind Offshore,"90 x Vestas V164-9.5 MW",confirmed,"OEDB id 131; digitised public curve","OEDB id 131 V164/9500","https://www.tritonknoll.co.uk/about-triton-knoll/","OEDB curve is public but not an operator-supplied as-operated farm curve"
2524,East Anglia 1,714,Wind Offshore,"102 x Siemens Gamesa SWT-7.0-154",confirmed,"No exact public curve found","Vestas_V164_7MW_offshore (proxy)","https://www.siemensgamesa.com/global/en/home/press-releases/east-anglia-1-service-contract-extension.html","Proxy has the same nominal rating but a different manufacturer/platform"
2533,Walney Extension,659,Wind Offshore,"40 x Vestas V164-8.25 MW; 47 x Siemens Gamesa SWT-7.0-154",confirmed mixed fleet,"OEDB id 33 available for V164/8000 group; no exact SWT-7 curve","OEDB id 33 for V164 group; Vestas_V164_7MW_offshore as proxy for SWT-7 group","https://infrastructure.planninginspectorate.gov.uk/wp-content/ipc/uploads/projects/EN010121/EN010121-000902-DL3%20Updated%20Wake%20Assessment%20for%20the%20%C3%98rsted%20IPs.pdf","Official project sources report 87 turbines; REPD row reports 110 turbines and 6 MW each, so split and correct this row before modelling"
2511,London Array Phase 1,630,Wind Offshore,"175 x Siemens SWT-3.6-120",confirmed,"OEDB id 61","OEDB id 61 SWT120/3600","https://news.siemens.co.uk/news/world-s-largest-offshore-wind-farm-with-175-siemens-wind-turbines-inaugurated","Official source confirms 3.6 MW and 120 m rotor; OEDB supplies the curve"
2521,Beatrice,588,Wind Offshore,"84 x Siemens SWT-7.0-154",confirmed,"No exact public curve found","Vestas_V164_7MW_offshore (proxy)","https://assets.publishing.service.gov.uk/media/5f22bca58fa8f57ac287c0b8/DB1_SCP_Annexes_Final.pdf","Government-hosted turbine-selection document confirms SWT-7.0-154"
2543,Gwynt y Mor,576,Wind Offshore,"160 x Siemens SWT-3.6-107",confirmed,"Bundled atlite curve","Siemens_SWT_107_3600kW","https://infrastructure.planninginspectorate.gov.uk/wp-content/ipc/uploads/projects/EN010137/EN010137-002020-Shepherd%20and%20Wedderburn%20LLP%20on%20behalf%20of%20the%20%C3%98rsted%20IPs-%20Deadline%207%20Submission.pdf","Planning Inspectorate wake document identifies model; some performance values are redacted"
2510,Greater Gabbard Wind Farm,504,Wind Offshore,"140 x Siemens SWT-3.6-107",high-confidence public match,"Bundled atlite curve","Siemens_SWT_107_3600kW","https://ewoc.co.uk/wp-content/uploads/2022/05/GENERATE-Offshore-Wind-Brochure-2022-FINAL.pdf","Use site-specific hub height if a final as-built source is found"
2522,Neart na Gaoithe,450,Wind Offshore,"54 x Siemens Gamesa SG 8.0-167 DD",confirmed,"No exact public curve found","NREL_ReferenceTurbine_2016CACost_8MW_offshore (proxy)","https://www.siemensgamesa.com/global/en/home/press-releases/191128-siemens-gamesa-scottish-offshore-order-en.html","Official source gives 167 m rotor and 208 m tip height; hub height is site-specific"
6828,Viking Wind Farm,443,Wind Onshore,"103 x Vestas V117-4.2 MW in 4.3 MW Power Optimised Mode",confirmed,"OEDB V117/4200 record has no curve","OEDB id 47 V117/3450 (same-rotor-family proxy)","https://www.vikingenergy.co.uk/news/vestas-for-viking-as-turbine-contract-confirmed","Do not treat the 3.45 MW proxy as the actual 4.3 MW power-optimised curve"
2538,Dudgeon East,402,Wind Offshore,"67 x Siemens SWT-6.0-154",confirmed,"OEDB record exists but has no curve","NREL_ReferenceTurbine_2016CACost_6MW_offshore (proxy)","https://dudgeonoffshorewind.co.uk/news/news-17-10-14","Proxy has the same nominal capacity but a different turbine design"
2520,Rampion Offshore Wind Farm,400,Wind Offshore,"116 x Vestas V112-3.45 MW",confirmed,"OEDB id 49","OEDB id 49 V112/3450","https://www.rampionoffshore.com/about/offshore/turbines/","Official project page also gives 80 m tower/hub level and cut-in/rated/cut-out speeds"
2519,West of Duddon Sands,389,Wind Offshore,"108 x Siemens SWT-3.6-120",confirmed,"OEDB id 61","OEDB id 61 SWT120/3600","https://infrastructure.planninginspectorate.gov.uk/wp-content/ipc/uploads/projects/EN010121/EN010121-000902-DL3%20Updated%20Wake%20Assessment%20for%20the%20%C3%98rsted%20IPs.pdf","Planning document gives 85.77 mMSL hub height but confidential performance entries may be redacted"
2526,Galloper Wind Farm,353,Wind Offshore,"56 x Siemens SWT-6.0-154 using Power Boost to about 6.3 MW",confirmed,"OEDB record exists but has no curve","NREL_ReferenceTurbine_2016CACost_6MW_offshore (proxy)","https://www.ofgem.gov.uk/sites/default/files/docs/2016/10/galloper_pim.pdf","Ofgem document identifies SWT-6.0-154 and optional Powerboost; model using total site capacity of 353 MW"
4011,Clyde Wind Farm,350,Wind Onshore,"152 x Siemens SWT-2.3-93",high-confidence public match,"Bundled atlite curve","Siemens_SWT_2300kW","https://www.sserenewables.com/media/b0bhvuuo/viking-renewable-uk-wind-farm-database-june-2021.pdf","This REPD row is the original site; Clyde Extension is a separate 54 x 3.2 MW fleet"
3489,Whitelee,322,Wind Onshore,"140 x Siemens SWT-2.3-93",high-confidence public match,"Bundled atlite curve","Siemens_SWT_2300kW","https://www.sserenewables.com/media/b0bhvuuo/viking-renewable-uk-wind-farm-database-june-2021.pdf","This REPD row represents the original fleet; Whitelee extensions use different Alstom models and must remain separate"
